Layers,Result,Rate,Iterations
"(1,)",0.4299979148695452,0.3,1
"(1,)",0.40996379643516584,0.4,1
"(1,)",0.4108947552272328,0.5,1
"(1,)",0.3902529067034844,0.6000000000000001,1
"(1,)",0.3902529067034844,0.7000000000000002,1
"(1,)",0.4713883759639536,0.3,5
"(1,)",0.7565150781333088,0.4,5
"(1,)",0.771873176976343,0.5,5
"(1,)",0.7795071248710087,0.6000000000000001,5
"(1,)",0.7770076388004741,0.7000000000000002,5
"(1,)",0.8245632612502369,0.3,10
"(1,)",0.7690917976329659,0.4,10
"(1,)",0.8103994998311054,0.5,10
"(1,)",0.7300565294967916,0.6000000000000001,10
"(1,)",0.7655717959899401,0.7000000000000002,10
"(1,)",0.8134077861714779,0.3,50
"(1,)",0.7887167160214827,0.4,50
"(1,)",0.7897293722293722,0.5,50
"(1,)",0.7941193670553848,0.6000000000000001,50
"(1,)",0.7948945892580355,0.7000000000000002,50
"(1,)",0.7687835198293456,0.3,100
"(1,)",0.812930686658025,0.4,100
"(1,)",0.775675796488107,0.5,100
"(1,)",0.7896875479824181,0.6000000000000001,100
"(1,)",0.7851918545161884,0.7000000000000002,100
"(1,)",0.8098914965022415,0.3,500
"(1,)",0.8011700117070983,0.4,500
"(1,)",0.8008888333167956,0.5,500
"(1,)",0.8108676373388499,0.6000000000000001,500
"(1,)",0.7994638141983877,0.7000000000000002,500
"(1,)",0.7894922367766836,0.3,1000
"(1,)",0.7779151645382829,0.4,1000
"(1,)",0.7425775834972442,0.5,1000
"(1,)",0.7899705573854742,0.6000000000000001,1000
"(1,)",0.7720597176244836,0.7000000000000002,1000
"(1,)",0.8164997715269454,0.3,5000
"(1,)",0.7952154054310805,0.4,5000
"(1,)",0.8225255107677935,0.5,5000
"(1,)",0.8117506491118427,0.6000000000000001,5000
"(1,)",0.7960242145768462,0.7000000000000002,5000
"(1,)",0.7933637619160921,0.3,10000
"(1,)",0.803999284474292,0.4,10000
"(1,)",0.7720940737092585,0.5,10000
"(1,)",0.7926605246290218,0.6000000000000001,10000
"(1,)",0.7791044824799478,0.7000000000000002,10000
"(2,)",0.3902529067034844,0.3,1
"(2,)",0.42454706782691376,0.4,1
"(2,)",0.3902529067034844,0.5,1
"(2,)",0.4182994739205177,0.6000000000000001,1
"(2,)",0.4168225541612897,0.7000000000000002,1
"(2,)",0.8074608557595028,0.3,5
"(2,)",0.8020147616922028,0.4,5
"(2,)",0.8112477196325264,0.5,5
"(2,)",0.7759190582216898,0.6000000000000001,5
"(2,)",0.7473315271300393,0.7000000000000002,5
"(2,)",0.8210275010507209,0.3,10
"(2,)",0.8084642891329507,0.4,10
"(2,)",0.802079730467361,0.5,10
"(2,)",0.8069769400027285,0.6000000000000001,10
"(2,)",0.7714190826827744,0.7000000000000002,10
"(2,)",0.7629274495060033,0.3,50
"(2,)",0.8079919852946169,0.4,50
"(2,)",0.7899504250151533,0.5,50
"(2,)",0.7807753409301397,0.6000000000000001,50
"(2,)",0.7554630651999072,0.7000000000000002,50
"(2,)",0.7831194657373727,0.3,100
"(2,)",0.7309489296627485,0.4,100
"(2,)",0.7786457869648257,0.5,100
"(2,)",0.7931320619218853,0.6000000000000001,100
"(2,)",0.7738703016912597,0.7000000000000002,100
"(2,)",0.7971251818057006,0.3,500
"(2,)",0.7786853564321865,0.4,500
"(2,)",0.7518203407798184,0.5,500
"(2,)",0.7901257979969534,0.6000000000000001,500
"(2,)",0.8038165003434277,0.7000000000000002,500
"(2,)",0.7704242538401195,0.3,1000
"(2,)",0.7842000509605597,0.4,1000
"(2,)",0.7877032804932377,0.5,1000
"(2,)",0.7749566364477152,0.6000000000000001,1000
"(2,)",0.7617494029313449,0.7000000000000002,1000
"(2,)",0.7981257398597359,0.3,5000
"(2,)",0.7593915343915344,0.4,5000
"(2,)",0.7707439769369606,0.5,5000
"(2,)",0.772280751207868,0.6000000000000001,5000
"(2,)",0.7713637182035549,0.7000000000000002,5000
"(2,)",0.7715007145496848,0.3,10000
"(2,)",0.7940837241852172,0.4,10000
"(2,)",0.7562391794009441,0.5,10000
"(2,)",0.7641459591624149,0.6000000000000001,10000
"(2,)",0.7891283513857007,0.7000000000000002,10000
"(3,)",0.46692739075601725,0.3,1
"(3,)",0.42902096975997245,0.4,1
"(3,)",0.43022977802392176,0.5,1
"(3,)",0.5163059645858106,0.6000000000000001,1
"(3,)",0.43662758465710977,0.7000000000000002,1
"(3,)",0.7972324278351015,0.3,5
"(3,)",0.8217824255306907,0.4,5
"(3,)",0.8081126386071336,0.5,5
"(3,)",0.8080133651539704,0.6000000000000001,5
"(3,)",0.8033579930892676,0.7000000000000002,5
"(3,)",0.8053152839977598,0.3,10
"(3,)",0.7949541448455705,0.4,10
"(3,)",0.799529005345653,0.5,10
